,kmeans_119,moving_time,average_watts,suffer_score,ride_count
0,0,6776.846153846154,113.81538461538463,82.15384615384616,13
1,1,2048.6451612903224,86.19999999999999,25.806451612903224,31
2,2,10094.0,126.87272727272726,65.4145810663765,11
3,3,2204.875,135.34960346070656,33.85364526659413,8
4,4,4053.0,127.42727272727274,68.03768918785241,11
5,5,7942.636363636364,155.94545454545457,65.4145810663765,11
6,6,4241.6875,127.45,69.25,16
7,7,3962.5454545454545,101.9,53.70283905430804,11
8,8,4787.846153846154,158.5153846153846,98.53846153846153,13
9,9,2773.909090909091,118.20450940551878,65.4145810663765,11
10,10,6094.142857142857,119.24285714285715,58.857142857142854,7
11,11,8975.6,161.97333333333333,65.4145810663765,15
12,12,7616.875,166.1875,65.4145810663765,8
13,13,4978.5,146.41153846153844,65.4145810663765,26
14,14,6059.625,125.5625,71.0,8
15,15,5823.263157894737,142.29473684210527,99.57894736842105,19
16,16,3973.6923076923076,100.58461538461538,28.0,13
17,17,5715.846153846154,163.42307692307693,98.18573700510589,13
18,18,5812.125,137.0625,73.0625,16
19,19,4022.076923076923,176.3692307692308,74.53846153846153,13
20,20,11342.57142857143,170.72857142857143,65.4145810663765,7
21,21,3315.0,159.7953463983745,65.4145810663765,11
22,22,4783.625,119.06240086517664,53.0,8
23,23,1952.3333333333333,136.85,39.5,12
24,24,4674.142857142857,120.73571428571428,65.4145810663765,14
25,25,8231.666666666666,168.93333333333334,65.4145810663765,9
26,26,9612.363636363636,165.97272727272727,65.4145810663765,11
27,27,6292.333333333333,143.82666666666668,87.0943054044251,15
28,28,3904.6363636363635,141.74545454545455,58.09090909090909,11
29,29,3857.04,98.384,44.6,25
30,30,2978.4444444444443,136.11111111111111,65.4145810663765,9
31,31,6802.8,134.39000000000001,111.38291621327531,10
32,32,3970.0,111.1,65.4145810663765,1
33,33,1000.3333333333334,135.34960346070656,9.0,3
34,34,1185.2,92.73200000000001,65.4145810663765,25
35,35,6714.636363636364,151.0816739857115,68.99109704223959,11
36,36,2561.777777777778,153.18333333333334,62.0,18
37,37,4636.714285714285,146.63554434030283,60.57142857142857,7
38,38,9390.76923076923,162.6153846153846,65.4145810663765,13
39,39,3650.9,105.22,44.2,10
40,40,5210.909090909091,145.0909090909091,65.4145810663765,22
41,41,14002.555555555555,107.22222222222223,65.4145810663765,9
42,42,3404.923076923077,157.68431035438968,70.806729722943,13
43,43,6598.8,141.85999999999999,106.0829162132753,10
44,44,7769.133333333333,147.99333333333334,87.4,15
45,45,11865.0,162.01,65.4145810663765,10
46,46,5455.666666666667,135.31666666666666,65.4145810663765,12
47,47,5094.75,127.25,63.75,4
48,48,5467.888888888889,130.58888888888887,76.55555555555556,9
49,49,3563.6111111111113,157.11666666666667,63.388888888888886,18
50,50,3961.785714285714,137.07857142857142,49.714285714285715,14
51,51,7051.0,166.0,65.4145810663765,9
52,52,4985.846153846154,115.37692307692308,76.3076923076923,13
53,53,4401.285714285715,115.3,65.4145810663765,7
54,54,8117.461538461538,128.67692307692306,65.4145810663765,13
55,55,2557.3333333333335,133.72222222222223,65.4145810663765,9
56,56,7992.933333333333,142.41333333333333,96.66666666666667,15
57,57,9111.90909090909,169.4181818181818,65.4145810663765,11
58,58,6920.428571428572,133.84285714285713,65.4145810663765,14
59,59,4469.090909090909,142.76363636363638,43.91571866653477,11
60,60,3906.0,104.08571428571429,57.35535519975128,7
61,61,2654.8636363636365,87.75,34.837026412108024,22
62,62,3402.1111111111113,129.94444444444446,65.4145810663765,9
63,63,4024.846153846154,170.24615384615385,81.87804469741357,13
64,64,7194.588235294118,141.54705882352943,65.4145810663765,17
65,65,2201.153846153846,97.06153846153846,30.46153846153846,13
66,66,1091.774193548387,93.23225806451613,51.17620836112184,31
67,67,7660.846153846154,126.75384615384615,83.6923076923077,13
68,68,6704.4,150.3,121.0,10
69,69,4680.75,120.76875,72.9375,16
70,70,4372.857142857143,139.0047619047619,65.4145810663765,21
71,71,4135.3125,142.29999999999998,58.125,16
72,72,9573.25,147.275,65.4145810663765,4
73,73,4156.4,173.91,107.3,10
74,74,5461.888888888889,126.18053352559481,65.4145810663765,18
75,75,6559.545454545455,128.35454545454544,107.18181818181819,11
76,76,7843.333333333333,166.73333333333332,65.4145810663765,9
77,77,3683.181818181818,162.67709248213936,76.0,11
78,78,4172.75,143.96666666666667,66.58333333333333,12
79,79,5684.384615384615,159.09230769230768,81.3076923076923,13
80,80,2342.633333333333,80.92333333333333,24.8,30
81,81,8936.142857142857,136.02857142857144,65.4145810663765,7
82,82,5326.0,150.02773371785628,77.0,9
83,83,9357.916666666666,146.79999999999998,141.5,12
84,84,3429.214285714286,168.90714285714284,64.0,14
85,85,2023.7142857142858,103.39999999999999,56.498212342608426,7
86,86,11274.666666666666,155.8111111111111,65.4145810663765,9
87,87,4219.8125,184.33125,69.25,16
88,88,9716.5,94.10620043258832,45.551822633297064,8
89,89,8175.705882352941,149.71764705882353,65.4145810663765,17
90,90,3328.6,90.16,35.682916213275305,5
91,91,8474.0,142.45714285714286,85.28571428571429,14
92,92,7073.2307692307695,126.5076923076923,65.4145810663765,13
93,93,4754.428571428572,109.48571428571428,65.4145810663765,7
94,94,3634.1111111111113,135.34960346070656,65.4145810663765,9
95,95,7710.0,164.27272727272728,65.4145810663765,11
96,96,6748.6,174.89,121.6,10
97,97,7895.636363636364,139.10909090909092,111.81818181818181,11
98,98,4428.428571428572,147.44285714285712,78.71428571428571,7
99,99,2332.0,134.525,49.06093579978237,4
100,100,8340.777777777777,186.56666666666666,65.4145810663765,9
101,101,5058.3125,152.4125,65.4145810663765,16
102,102,5000.615384615385,142.05360212966556,103.3076923076923,13
103,103,4926.0,148.1,65.4145810663765,12
104,104,9978.4,144.34,65.4145810663765,10
105,105,8196.6,155.5,65.4145810663765,10
106,106,8634.2,182.68,65.4145810663765,10
107,107,4820.2,122.34,70.4,5
108,108,6739.666666666667,143.8777777777778,134.11111111111111,9
109,109,3646.6363636363635,139.08625548928362,54.09090909090909,11
110,110,6744.0,151.4125,65.4145810663765,8
111,111,3296.266666666667,125.81333333333332,60.733333333333334,15
112,112,7170.4,136.72,65.4145810663765,5
113,113,3330.0,108.60000000000001,65.4145810663765,6
114,114,1873.1538461538462,94.44615384615385,70.75136017410229,26
115,115,7848.5,134.65714285714287,96.78571428571429,14
116,116,6464.8,168.23,65.4145810663765,10
117,117,2066.5714285714284,107.08571428571429,30.857142857142858,7
118,118,2500.0,166.26666666666668,64.66666666666667,3
