,moving_time,timestamp,average_speed,average_temp,average_watts,suffer_score,kmeans_119
547,2700,1558888823.0,7.207,27.0,160.0,54.0,69
548,1800,1558468191.0,7.884,27.0,182.0,67.0,69
549,3000,1558276820.0,6.784,26.0,156.8,73.0,69
550,3600,1558016475.0,7.173,24.0,167.2,89.0,69
551,3656,1557851155.0,7.152,24.0,163.5,79.0,69
552,9339,1557641083.0,9.412,22.0,177.0,224.0,69
553,3600,1557579214.0,7.124,24.0,163.2,67.0,69
554,3600,1557407157.0,6.123,26.0,130.7,31.0,69
555,3835,1557245552.0,7.7,33.0,147.5,53.0,69
556,3369,1557035652.0,5.467,19.0,83.0,8.0,69
557,9587,1556431260.0,9.199,26.0,163.7,173.0,33
558,9332,1556346267.0,3.865,29.0,58.2,22.0,33
559,3601,1555923247.0,6.218,25.0,145.1,65.0,33
560,7080,1555740075.0,5.928,18.0,104.8,39.0,33
561,8571,1555568020.0,6.478,19.0,134.7,101.0,33
562,8852,1555394358.0,6.456,21.0,132.9,89.0,33
563,1329,1555230094.0,10.218,25.0,225.3,79.0,33
564,125,1555229946.0,6.13,27.0,39.8,0.0,33
565,7280,1554791106.0,8.687,22.0,155.3,81.0,33
566,589,1554624093.0,6.726,24.0,74.3,2.0,33
567,2622,1554620041.0,11.468,19.0,332.2,152.0,33
568,361,1554618676.0,6.73,18.0,113.2,2.0,33
569,2700,1554367153.0,0.0,23.0,166.9,75.0,96
570,3000,1554207980.0,0.0,25.0,166.9,55.0,96
571,3451,1554019773.0,8.293,29.0,122.3,43.0,96
572,2793,1554016951.0,10.79,20.0,236.7,98.0,96
573,3378,1554013242.0,8.046,21.0,106.5,17.0,96
574,2701,1553858456.0,0.0,26.0,170.7,64.0,96
575,2700,1553768425.0,0.0,24.0,164.4,58.0,96
576,4120,1553599243.0,0.0,24.0,140.8,76.0,96
577,3576,1553415257.0,7.919,27.0,128.0,60.0,96
578,2927,1553412271.0,10.675,18.0,229.1,102.0,96
579,3434,1553407542.0,8.001,17.0,115.1,24.0,96
580,6231,1553322037.0,7.722,19.0,138.2,90.0,96
581,9217,1552976682.0,6.16,18.0,132.5,103.0,96
582,3065,1552804282.0,6.577,17.0,135.0,39.0,96
583,7971,1552026026.0,6.262,15.0,129.0,69.0,108
584,8053,1551853294.0,6.205,13.0,132.8,63.0,108
585,2878,1551594188.0,6.317,15.0,118.8,13.0,108
586,5025,1551337282.0,9.539,12.0,204.1,125.0,108
587,3719,1550995707.0,7.159,23.0,115.8,39.0,108
588,4010,1550988473.0,10.351,17.0,224.6,212.0,108
589,1960,1550984287.0,5.042,18.0,84.8,8.0,108
590,2613,1550648844.0,9.254,17.0,116.7,43.0,108
591,1812,1550645149.0,12.388,14.0,65.8,98.0,108
592,1559,1550642079.0,3.835,16.0,53.5,6.0,108
593,1723,1550398233.0,5.933,24.0,61.9,13.0,108
594,9776,1550386466.0,10.559,13.0,130.3,221.0,108
595,386,1550385286.0,3.006,16.0,88.8,1.0,108
596,8267,1550298988.0,6.774,14.0,133.3,89.0,108
597,7578,1550126420.0,6.578,16.0,135.4,80.0,108
598,7562,1549954202.0,6.53,16.0,136.7,87.0,6
599,6563,1549788855.0,7.305,19.0,145.4,93.0,6
600,6290,1549781531.0,10.395,9.0,192.4,167.0,6
601,236,1549780991.0,3.077,13.0,140.5,1.0,6
602,7584,1549521609.0,6.583,13.0,136.7,73.0,6
603,7681,1549348748.0,6.493,14.0,138.4,85.0,6
604,2824,1549193474.0,7.611,25.0,112.7,34.0,6
605,511,1549190053.0,6.303,23.0,112.5,5.0,6
606,8869,1549176610.0,9.954,15.0,167.3,294.0,6
607,5619,1548744821.0,8.51,10.0,166.8,77.0,6
608,6739,1548581536.0,8.179,21.371531966224367,170.7,65.4145810663765,6
609,7496,1548571184.0,8.074,13.0,140.1,58.0,6
610,10005,1548485082.0,6.343,11.0,140.4,118.0,6
611,7626,1548312544.0,6.564,13.0,135.4,74.0,6
612,7442,1547966453.0,6.943,12.0,110.6,32.0,50
613,8900,1547880008.0,6.536,14.0,147.5,130.0,50
614,7679,1547707715.0,6.45,13.0,134.9,82.0,50
615,5406,1547534684.0,8.832,12.0,180.5,115.0,50
616,6470,1547361918.0,9.674,9.0,190.3,277.0,50
617,8148,1547102901.0,6.143,11.0,128.9,88.0,50
618,5410,1546930191.0,8.846,9.0,182.9,143.0,50
619,7896,1546671381.0,6.247,13.0,133.5,111.0,50
620,6050,1546498784.0,4.798,11.0,125.2,83.0,50
621,6760,1546065798.0,6.997,11.0,144.0,112.0,50
622,7593,1545892966.0,6.587,11.0,144.6,114.0,50
623,5632,1545547200.0,8.391,13.0,138.2,85.0,50
624,3600,1544093598.0,6.919,21.0,151.2,64.0,52
625,3601,1543765514.0,7.204,19.0,170.6,91.0,52
626,4501,1543338597.0,7.488,22.0,161.0,55.0,52
627,3600,1543163198.0,7.031,22.0,160.1,83.0,52
628,3601,1542902082.0,7.834,23.0,145.4,77.0,52
629,3600,1542739768.0,6.927,23.0,107.0,65.0,52
630,4846,1542524603.0,7.029,16.0,101.2,39.0,52
631,6577,1542263211.0,7.125,16.0,96.7,70.0,52
632,6380,1542177032.0,8.187,14.0,100.6,105.0,52
633,724,1542138735.0,4.178,22.0,88.8,65.4145810663765,52
634,3553,1542090101.0,6.83,13.0,119.1,34.0,52
635,1626,1541325013.0,6.898,29.0,151.2,31.0,13
636,7034,1541312244.0,10.705,19.0,273.6,286.0,13
637,89,1541312121.0,5.024,19.0,242.8,2.0,13
638,2372,1541140220.0,7.755,15.0,148.5,39.0,13
639,6075,1541053902.0,7.883,16.0,162.3,78.0,13
640,3216,1540967828.0,7.348,14.0,134.3,51.0,13
641,4501,1540636211.0,7.478,24.0,135.34960346070656,65.0,13
642,4500,1540498421.0,8.06,24.0,135.34960346070656,79.0,13
643,3901,1540062651.0,7.954,24.0,135.34960346070656,103.0,13
644,3600,1539859021.0,7.823,24.0,135.34960346070656,60.0,13
645,3601,1539801635.0,7.349,24.0,135.34960346070656,42.0,13
646,3600,1539196080.0,7.588,25.0,135.34960346070656,59.0,64
647,3600,1538908779.0,8.025,24.0,135.34960346070656,107.0,64
648,3600,1538680214.0,8.277,23.0,135.34960346070656,90.0,64
649,1653,1538470116.0,9.276,26.0,226.2,42.0,64
650,1622,1538462101.0,8.922,20.0,291.9,92.0,64
651,4983,1538202629.0,7.759,20.0,178.3,70.0,64
652,3601,1538040251.0,7.22,24.0,135.34960346070656,68.0,64
653,3601,1537872488.0,7.583,23.0,135.34960346070656,65.4145810663765,64
654,3600,1537724816.0,7.763,23.0,135.34960346070656,65.4145810663765,64
655,3602,1537474838.0,7.324,22.0,135.34960346070656,65.4145810663765,64
656,3601,1537267920.0,7.542,23.0,135.34960346070656,65.4145810663765,64
657,3601,1537101184.0,7.878,23.0,135.34960346070656,65.4145810663765,64
658,3600,1536862504.0,6.954,22.0,135.34960346070656,65.4145810663765,64
659,3601,1536679767.0,7.854,22.0,135.34960346070656,65.4145810663765,64
660,3901,1536399405.0,6.996,21.0,135.34960346070656,65.4145810663765,29
661,3601,1536055956.0,7.152,21.0,135.34960346070656,65.4145810663765,29
662,3601,1535918874.0,7.365,22.0,135.34960346070656,65.4145810663765,29
663,3600,1535625562.0,6.302,22.0,135.34960346070656,65.4145810663765,29
664,3601,1535453386.0,6.812,21.0,135.34960346070656,65.4145810663765,29
665,3601,1535224442.0,8.12,21.0,135.34960346070656,65.4145810663765,29
666,3601,1535022366.0,6.788,22.0,135.34960346070656,65.4145810663765,29
667,3600,1534846350.0,6.07,20.0,135.34960346070656,65.4145810663765,29
668,3622,1534534179.0,7.44,21.0,135.34960346070656,65.4145810663765,29
669,1934,1534315277.0,11.583,19.0,331.9,65.4145810663765,29
670,3601,1534094015.0,6.278,22.0,135.34960346070656,65.4145810663765,91
671,3601,1533831967.0,5.678,22.0,135.34960346070656,65.4145810663765,91
672,1801,1533671799.0,7.506,23.0,153.1,65.4145810663765,91
673,3600,1533495884.0,7.016,21.371531966224367,140.5,65.4145810663765,91
674,3601,1533323286.0,7.299,23.0,163.6,65.4145810663765,91
675,3600,1533030611.0,6.699,22.0,141.8,65.4145810663765,91
676,3601,1532804392.0,6.669,22.0,141.5,65.4145810663765,91
677,3600,1532601483.0,6.801,21.0,153.8,65.4145810663765,91
678,3904,1532431321.0,6.017,21.0,125.5,65.4145810663765,91
679,2700,1531220793.0,7.124,21.371531966224367,162.3,65.4145810663765,42
680,4500,1530880476.0,7.603,21.371531966224367,175.4,65.4145810663765,42
681,1528,1530797447.0,6.621,21.371531966224367,164.0,65.4145810663765,42
692,600,1530138229.0,2.254,23.0,36.4,0.0,42
693,6042,1529823289.0,7.966,21.0,111.7,65.4145810663765,42
694,7319,1529733658.0,9.293,21.0,164.3,139.0,42
695,7348,1529560755.0,4.917,21.0,112.9,65.4145810663765,42
696,6344,1529387788.0,7.755,21.0,123.1,107.0,42
697,6992,1529042442.0,9.089,23.0,172.5,150.0,79
698,6483,1528869675.0,5.158,22.0,126.3,72.0,79
699,6728,1528610137.0,9.428,22.0,194.4,222.0,79
700,6568,1528264923.0,5.629,22.0,126.3,67.0,79
701,8563,1528005612.0,7.326,23.0,141.9,122.0,79
702,3601,1527703490.0,6.843,28.0,145.2,51.0,79
703,1879,1527527454.0,5.709,30.0,115.2,10.0,79
704,13330,1527400421.0,6.355,27.0,144.4,186.0,114
705,2700,1527248627.0,8.263,28.0,192.3,89.0,114
706,2700,1527180689.0,8.241,29.0,188.9,62.0,114
707,1801,1527013907.0,8.312,29.0,185.4,56.0,114
709,1200,1526660140.0,9.224,30.0,231.4,57.0,114
710,2700,1526466390.0,8.635,29.0,210.0,85.0,114
711,2701,1526318819.0,7.682,30.0,175.7,71.0,114
712,2700,1526221687.0,7.882,31.0,172.1,51.0,114
713,1896,1526147085.0,6.477,31.0,131.0,19.0,114
714,3600,1525805556.0,6.744,30.0,123.4,13.0,83
715,3601,1525717835.0,7.656,31.0,166.7,79.0,83
716,3601,1525632323.0,6.806,31.0,122.2,21.0,83
717,3600,1525543073.0,8.793,31.0,206.0,97.0,83
718,3600,1525456964.0,7.699,31.0,172.8,101.0,83
719,3600,1525373969.0,6.453,31.0,111.6,13.0,83
720,1109,1525164585.0,7.754,32.0,102.3,7.0,83
721,6630,1525154683.0,8.357,21.0,196.2,230.0,83
722,1664,1524899247.0,6.598,21.0,129.3,10.0,83
723,4060,1524895161.0,8.721,22.0,196.4,107.0,83
724,4257,1524722511.0,5.424,18.0,140.8,58.0,83
725,6335,1524635843.0,6.854,19.0,144.6,53.0,83
726,5234,1524549339.0,7.838,19.0,129.3,29.0,83
727,15250,1524376410.0,8.203,27.0,178.0,401.0,0
728,5042,1524074263.0,8.926,30.0,215.6,171.0,0
729,3601,1523986748.0,7.758,29.0,174.3,82.0,0
730,1860,1523611096.0,7.617,30.0,169.5,19.0,0
731,3601,1523525480.0,7.903,28.0,169.7,29.0,0
732,3601,1523435602.0,7.807,27.0,173.0,47.0,0
733,3601,1523355608.0,7.533,28.0,164.7,52.0,0
734,5088,1523168475.0,9.505,20.0,188.8,53.0,0
735,2400,1523009335.0,8.688,28.0,214.2,37.0,88
736,3601,1522923216.0,8.05,28.0,184.4,40.0,88
737,1500,1522837111.0,7.849,29.0,189.4,36.0,88
738,6768,1522564242.0,9.372,19.0,194.1,149.0,88
739,4500,1522482761.0,7.938,27.0,171.8,78.0,88
740,4801,1522405832.0,8.366,28.0,189.2,88.0,88
741,4501,1522318459.0,8.122,28.0,179.8,33.0,88
742,4501,1522233090.0,9.036,28.0,184.9,87.0,88
743,4500,1522143462.0,8.336,28.0,173.6,94.0,88
744,5401,1522054128.0,8.992,27.0,206.1,153.0,88
745,5252,1521958764.0,9.177,17.0,164.7,55.0,88
746,3901,1521876312.0,8.65,24.0,200.9,77.0,88
747,3600,1521711918.0,8.333,25.0,177.3,62.0,59
748,3601,1521626347.0,8.91,26.0,209.3,122.0,59
749,3600,1521542229.0,8.659,26.0,197.0,88.0,59
750,758,1521368435.0,5.697,28.0,146.8,14.0,59
751,1058,1521362193.0,6.1,27.0,49.2,5.0,59
752,3958,1521358040.0,9.416,19.0,226.7,213.0,59
753,1669,1521353791.0,6.097,20.0,98.4,12.0,59
754,3601,1521196196.0,7.611,25.0,165.8,54.0,59
755,3601,1521022838.0,7.4,27.0,159.5,51.0,59
756,3601,1520936780.0,8.218,27.0,180.7,51.0,59
757,2170,1520767235.0,6.277,35.0,119.7,29.0,59
758,2902,1520762569.0,10.135,30.0,189.4,51.0,59
759,209,1520756505.0,7.637,25.0,15.0,1.0,59
760,2287,1520753111.0,8.663,19.0,238.1,100.0,59
761,2071,1520749977.0,10.951,18.0,197.8,93.0,59
762,524,1520747951.0,4.639,22.0,95.3,3.0,59
763,3301,1520675830.0,7.435,27.0,137.2,75.0,59
764,3601,1520441206.0,7.739,28.0,154.1,92.0,59
767,3601,1519750960.0,9.095,27.0,196.1,99.0,40
768,12218,1519540113.0,7.863,20.0,176.4,232.0,40
769,3601,1519404478.0,8.498,27.0,180.7,116.0,40
770,3601,1519231883.0,8.644,26.0,194.2,97.0,40
771,3601,1519140509.0,8.209,26.0,181.6,97.0,40
772,10801,1518972306.0,7.653,25.0,157.6,95.0,40
774,5295,1518677258.0,9.064,16.0,176.5,120.0,40
775,5362,1518504619.0,8.999,11.0,183.5,103.0,40
776,11955,1518330934.0,9.662,15.0,176.5,227.0,40
777,7451,1518267878.0,7.202,23.0,125.8,30.0,40
778,3000,1517734716.0,7.916,21.0,166.5,78.0,103
779,2265,1517655854.0,6.995,23.0,136.9,46.0,103
780,2701,1517477073.0,8.593,21.0,192.4,84.0,103
781,2701,1517300885.0,8.76,21.0,194.1,73.0,103
782,3001,1517170273.0,9.032,23.0,205.5,119.0,103
783,5090,1517035766.0,9.417,10.0,208.2,152.0,103
784,5400,1516869764.0,7.713,21.0,142.3,90.0,103
785,2700,1516699126.0,8.058,21.0,143.9,42.0,103
786,12005,1516515980.0,9.618,14.0,173.2,310.0,103
787,2701,1516353532.0,8.328,22.0,176.1,79.0,58
788,2747,1516264927.0,7.042,23.0,133.5,25.0,58
789,2700,1516177092.0,8.328,23.0,169.9,66.0,58
790,10800,1515934543.0,7.789,25.0,138.7,153.0,58
791,3000,1515743496.0,8.286,22.0,170.3,48.0,58
792,2701,1515659836.0,7.437,21.0,148.5,56.0,58
793,5401,1515573186.0,6.989,20.0,120.1,26.0,58
794,3600,1515342372.0,7.255,22.0,134.9,15.0,58
795,3600,1515262041.0,7.404,21.0,149.9,120.0,58
796,3000,1515095034.0,7.178,21.0,139.4,56.0,58
797,2701,1515008424.0,6.936,20.0,127.6,42.0,58
798,2701,1514922810.0,6.879,22.0,126.4,32.0,58
799,5876,1514528903.0,8.143,9.0,153.6,89.0,17
800,7136,1514271814.0,6.055,12.0,121.3,57.0,17
801,13862,1513924827.0,7.411,21.0,165.2,318.0,17
802,3177,1513837360.0,5.248,12.0,69.0,12.0,17
803,10883,1513752627.0,7.405,14.0,167.3,294.0,17
804,8291,1513666099.0,7.171,14.0,144.5,164.0,17
805,2364,1513586275.0,8.938,19.0,156.8,64.0,17
806,4112,1513578781.0,6.713,14.0,189.5,132.0,17
807,4956,1513491881.0,8.178,13.0,127.7,77.0,17
809,1801,1512201956.0,7.859,21.0,164.9,37.0,75
810,10829,1512108309.0,7.157,19.0,120.4,69.0,75
811,3601,1511688939.0,8.125,20.0,173.7,99.0,75
812,7201,1511429708.0,8.121,21.0,169.5,123.0,75
813,5401,1511347376.0,8.024,22.0,167.2,79.0,75
814,5401,1511248486.0,7.702,20.0,156.3,109.0,75
815,9821,1511072465.0,9.154,16.0,154.0,173.0,75
816,5302,1510986239.0,9.094,13.0,170.4,84.0,75
817,7241,1510899675.0,6.816,13.0,147.2,114.0,75
818,5406,1510813781.0,8.915,14.0,154.9,130.0,75
819,5101,1510503897.0,8.946,18.0,203.9,113.0,75
820,3600,1510138295.0,8.198,20.0,172.0,65.4145810663765,75
821,3601,1510052937.0,7.904,21.0,170.1,81.0,75
822,3601,1509620014.0,7.883,20.0,166.5,86.0,37
823,3600,1509528525.0,8.903,20.0,191.9,88.0,37
824,3601,1509450875.0,7.941,22.0,174.3,104.0,37
825,3602,1509268532.0,8.845,22.0,194.8,126.0,37
826,3601,1509189058.0,8.47,23.0,177.8,49.0,37
827,3601,1509100139.0,7.723,23.0,155.6,84.0,37
828,3600,1508930160.0,8.608,23.0,184.1,83.0,37
829,3601,1508851101.0,7.753,23.0,161.1,80.0,37
830,7943,1508652797.0,8.69,21.0,160.3,65.4145810663765,37
831,3600,1508606645.0,8.963,23.0,193.0,99.0,37
832,3601,1508501134.0,8.137,23.0,170.4,72.0,37
833,3476,1508076177.0,9.215,23.0,204.2,105.0,37
834,4896,1507875310.0,5.415,21.0,79.2,23.0,84
835,2405,1507664363.0,9.217,23.0,135.34960346070656,71.0,84
836,11526,1507443144.0,9.609,22.0,170.7,145.0,84
837,3600,1507375906.0,8.855,23.0,135.34960346070656,110.0,84
838,3763,1507275464.0,8.375,22.0,135.34960346070656,79.0,84
839,2623,1507112977.0,8.158,22.0,135.34960346070656,41.0,84
840,11967,1506838156.0,9.607,23.0,160.7,227.0,84
841,2700,1506772451.0,8.398,23.0,135.34960346070656,64.0,84
842,6430,1506665648.0,7.671,20.0,166.3,87.0,84
843,2851,1506500118.0,8.616,23.0,135.34960346070656,77.0,84
844,2550,1506416809.0,7.803,23.0,135.34960346070656,44.0,84
845,1049,1506239790.0,5.518,23.0,65.6,4.0,84
846,6344,1506233164.0,11.086,19.0,200.6,259.0,84
847,7200,1505994024.0,7.649,21.0,135.34960346070656,135.0,84
848,5913,1505637963.0,8.974,25.0,149.4,113.0,25
849,2079,1505632079.0,12.414,20.0,242.4,54.0,25
850,387,1505630241.0,4.623,19.0,64.8,1.0,25
851,7201,1505458294.0,7.585,22.0,135.34960346070656,65.4145810663765,25
852,7200,1505285269.0,7.0,23.0,135.34960346070656,65.4145810663765,25
853,4444,1505196169.0,8.82,21.0,170.8,65.4145810663765,25
854,9608,1505023281.0,9.391,21.0,159.3,65.4145810663765,25
855,7201,1504969042.0,8.36,23.0,169.3,65.4145810663765,25
856,7628,1504764624.0,7.66,20.0,164.5,65.4145810663765,25
857,4200,1504630091.0,8.198,23.0,135.34960346070656,65.4145810663765,25
858,18000,1504419031.0,7.619,26.0,135.34960346070656,133.0,25
859,5483,1504176077.0,8.207,21.0,135.34960346070656,53.0,25
860,3600,1504082942.0,8.046,21.0,135.34960346070656,31.0,25
861,4501,1503994873.0,7.751,21.0,135.34960346070656,51.0,25
862,3651,1503468454.0,6.105,18.0,85.8,20.0,74
863,262,1503328148.0,4.352,23.0,57.1,1.0,74
864,3111,1503324788.0,10.861,23.0,288.9,191.0,74
865,701,1503322338.0,4.908,24.0,76.6,6.0,74
866,3714,1503036700.0,6.021,19.0,85.3,12.0,74
867,6632,1502951079.0,9.546,19.0,232.4,131.0,74
868,3170,1502864313.0,6.232,19.0,94.6,11.0,74
869,5288,1502778064.0,9.045,19.0,203.2,88.0,74
870,1436,1502605679.0,6.242,20.0,90.2,4.0,74
871,12431,1502518302.0,6.513,19.0,148.1,111.0,74
872,1128,1502363242.0,6.264,31.0,85.3,6.0,74
873,2050,1502352754.0,9.798,21.0,269.5,127.0,74
874,462,1502351275.0,4.162,21.0,39.9,1.0,74
875,1801,1502347080.0,7.157,20.0,102.3,10.0,74
876,5358,1502172472.0,8.412,20.0,164.6,79.0,74
877,3630,1502086871.0,6.129,19.0,108.6,12.0,74
878,8011,1502000536.0,8.592,21.0,186.7,164.0,74
879,3600,1501833313.0,6.191,22.0,98.7,22.0,74
880,4500,1501754237.0,8.575,22.0,189.6,77.0,9
881,4500,1501664041.0,8.489,22.0,182.0,65.0,9
882,1956,1501579528.0,7.101,21.0,148.0,21.0,9
883,3601,1501486652.0,6.261,21.0,103.3,12.0,9
884,7200,1501423258.0,8.434,22.0,181.4,124.0,9
885,4501,1501319210.0,8.345,22.0,178.6,95.0,9
886,3600,1501231941.0,6.342,22.0,101.0,14.0,9
887,5100,1501154419.0,8.463,22.0,181.3,115.0,9
888,3600,1501061033.0,6.548,23.0,107.1,14.0,9
889,3900,1500972678.0,8.085,22.0,172.0,100.0,9
890,3600,1500884129.0,6.441,22.0,107.0,13.0,9
891,4200,1500798879.0,7.925,22.0,167.2,112.0,9
892,4547,1500716350.0,7.743,22.0,155.0,72.0,9
893,1800,1500631294.0,6.228,22.0,105.6,8.0,9
894,4501,1500548255.0,7.818,22.0,169.8,155.0,9
895,2101,1500374394.0,5.474,22.0,86.0,8.0,9
896,474,1500203720.0,4.711,25.0,66.7,2.0,9
897,14798,1500188690.0,9.055,22.0,155.1,299.0,9
898,1650,1500184027.0,5.52,17.0,71.4,9.0,9
899,1990,1500140488.0,5.165,23.0,76.8,10.0,9
900,4800,1499848367.0,7.469,23.0,154.7,84.0,117
901,7206,1499674665.0,7.866,23.0,162.5,93.0,117
902,14401,1499322775.0,7.9,22.0,163.8,200.0,117
903,900,1498982672.0,4.242,22.0,66.2,2.0,117
904,7454,1498901625.0,6.557,22.0,130.9,50.0,117
905,14781,1498721067.0,7.462,22.0,154.2,202.0,117
906,7200,1498640214.0,6.844,22.0,133.0,62.0,117
907,12601,1498372228.0,8.167,24.0,168.3,181.0,117
908,7074,1498284549.0,7.742,22.0,152.7,73.0,117
909,13825,1498111662.0,8.532,23.0,168.6,205.0,73
910,5847,1498024841.0,7.897,22.0,149.2,58.0,73
911,3798,1497938148.0,5.878,20.0,98.7,11.0,73
912,12535,1497765186.0,9.164,24.0,155.5,210.0,73
913,7478,1497679561.0,7.636,21.0,142.6,71.0,73
914,4200,1497508362.0,7.686,23.0,166.2,60.0,73
915,4200,1497438502.0,7.693,24.0,166.1,42.0,73
916,3600,1497355301.0,6.569,24.0,120.2,23.0,73
917,5401,1497269315.0,8.336,26.0,184.5,102.0,73
918,7801,1497009298.0,7.653,26.0,158.7,79.0,73
919,17292,1496900047.0,7.441,21.0,154.9,173.0,73
920,4200,1496835234.0,7.951,26.0,158.6,48.0,73
921,3806,1496728897.0,5.909,22.0,99.2,12.0,73
922,17355,1496642165.0,8.177,26.0,157.0,223.0,73
923,7706,1496468081.0,7.948,23.0,157.1,91.0,51
924,4147,1496382901.0,5.403,22.0,79.3,11.0,51
925,8506,1496296393.0,6.15,23.0,104.5,46.0,51
926,12947,1496210788.0,8.905,25.0,167.1,160.0,51
927,4979,1496123214.0,6.827,21.0,140.2,40.0,51
928,13438,1496037669.0,8.582,25.0,162.8,99.0,51
929,5661,1495865141.0,5.758,23.0,96.3,20.0,51
930,5397,1495778874.0,8.558,22.0,174.2,90.0,51
931,4502,1495607287.0,9.035,26.0,202.4,126.0,51
932,4561,1495436006.0,8.606,25.0,189.8,88.0,51
933,4504,1495349151.0,8.218,25.0,177.6,100.0,51
934,2130,1495174654.0,8.71,26.0,206.8,64.0,51
935,2700,1495088088.0,6.016,25.0,101.4,8.0,51
936,4500,1495002542.0,8.177,25.0,169.0,49.0,51
937,4501,1494917025.0,8.909,25.0,196.9,105.0,51
938,4547,1494833011.0,8.776,26.0,191.9,89.0,51
939,2041,1494772274.0,7.33,27.0,135.6,9.0,19
940,7200,1494658234.0,8.403,27.0,169.9,92.0,19
941,3601,1494572558.0,8.87,27.0,193.9,88.0,19
942,3900,1494486078.0,8.47,27.0,178.6,64.0,19
943,3600,1494400474.0,8.602,27.0,179.0,87.0,19
944,2550,1494226854.0,7.947,27.0,168.6,37.0,19
945,2100,1494169019.0,7.563,29.0,144.9,14.0,19
946,2876,1494054841.0,6.063,27.0,106.9,26.0,19
947,1830,1493969857.0,6.321,27.0,107.9,16.0,19
948,1529,1493539618.0,7.151,25.0,148.7,14.0,19
949,2225,1493535615.0,9.723,19.0,237.9,82.0,19
950,2626,1493531947.0,7.734,17.0,125.4,19.0,19
951,3601,1493446838.0,6.529,26.0,103.5,23.0,19
952,3600,1493359817.0,6.592,26.0,119.6,31.0,19
953,4202,1493274969.0,7.096,24.0,135.1,59.0,19
954,3018,1493185974.0,6.073,18.0,106.8,18.0,19
955,3433,1493099323.0,5.325,18.0,78.4,9.0,86
956,11999,1492926695.0,9.606,21.0,170.7,189.0,86
957,9876,1492840496.0,8.893,21.0,164.7,159.0,86
958,5900,1492753783.0,5.802,19.0,82.7,16.0,86
959,7144,1492667694.0,8.395,21.0,156.0,97.0,86
960,7327,1492581369.0,8.67,22.0,155.4,112.0,86
961,7704,1492494999.0,8.826,24.0,155.1,88.0,86
962,12193,1492322114.0,9.439,25.0,163.1,195.0,86
963,12464,1492235579.0,6.796,23.0,152.1,177.0,86
964,3567,1492149665.0,5.122,20.0,75.8,13.0,86
965,7142,1492062668.0,8.361,19.0,151.9,120.0,86
966,6643,1491976140.0,6.33,19.0,84.9,24.0,86
967,6985,1491890093.0,8.386,19.0,143.0,88.0,86
968,12203,1491717259.0,9.425,22.0,150.8,90.0,86
969,11237,1491631734.0,7.439,20.0,173.2,216.0,118
970,3342,1491544882.0,5.454,18.0,79.3,16.0,118
971,6028,1491458936.0,8.182,20.0,161.9,103.0,118
972,7457,1491373293.0,9.115,19.0,160.0,93.0,118
973,7487,1491286198.0,8.757,20.0,153.9,82.0,118
974,11829,1491113378.0,9.738,23.0,152.1,175.0,118
975,12116,1491026794.0,6.898,24.0,151.6,190.0,118
976,4244,1490854375.0,8.423,21.0,149.3,46.0,118
977,967,1490696298.0,4.647,34.0,89.1,6.0,118
978,876,1490691990.0,6.562,32.0,51.4,5.0,118
979,222,1490691314.0,4.035,31.0,30.9,1.0,118
980,3803,1490687365.0,9.795,25.0,225.6,239.0,118
981,3144,1490680313.0,5.201,22.0,50.7,15.0,118
982,6001,1490509025.0,8.258,22.0,124.7,97.0,118
983,3314,1490423448.0,5.539,20.0,82.5,26.0,118
984,3356,1490250340.0,5.501,18.0,78.1,17.0,32
985,517,1489919802.0,5.538,35.0,67.8,3.0,32
986,852,1489915067.0,4.596,29.0,42.6,3.0,32
987,2858,1489911460.0,11.781,23.0,242.1,173.0,32
988,2170,1489908092.0,6.158,21.0,82.5,23.0,32
989,3548,1489855415.0,5.833,30.0,66.3,12.0,32
990,3022,1489645388.0,5.976,16.0,105.6,11.0,32
991,7113,1489558855.0,8.936,16.0,154.2,112.0,32
992,2975,1489472460.0,6.155,13.0,106.2,18.0,32
993,251,1489313866.0,4.334,28.0,109.6,1.0,32
994,11365,1489300349.0,9.886,13.0,160.9,218.0,32
995,368,1489299517.0,3.712,16.0,82.2,1.0,32
996,3600,1489149139.0,7.87,23.0,166.0,70.0,32
997,3602,1489061986.0,8.394,24.0,185.6,106.0,32
998,3601,1488976491.0,7.764,24.0,164.7,87.0,68
999,3602,1488890404.0,7.267,24.0,150.9,73.0,68
1000,12697,1488695225.0,9.096,17.0,152.1,170.0,68
1001,11000,1488609881.0,9.265,18.0,161.4,192.0,68
1002,3618,1488522852.0,5.021,16.0,66.4,14.0,68
1003,7204,1488436394.0,8.774,16.0,156.9,64.0,68
1004,7412,1488349554.0,9.12,16.0,153.7,54.0,68
1005,1095,1488298525.0,0.0,25.0,84.4,3.0,68
1006,6450,1488263466.0,8.915,14.0,154.2,108.0,68
1007,1619,1488099707.0,6.345,25.0,110.8,15.0,68
1008,2420,1488092787.0,11.197,12.0,232.1,111.0,68
1009,1491,1488090170.0,7.339,15.0,111.4,19.0,68
1010,7483,1488004062.0,8.442,16.0,149.8,49.0,68
1011,2854,1487917935.0,6.34,15.0,117.2,16.0,68
1012,7163,1487831511.0,6.888,15.0,146.7,56.0,111
1013,2608,1487745136.0,6.779,13.0,124.0,25.0,111
1014,2828,1487485581.0,6.406,14.0,122.3,15.0,111
