,moving_time,timestamp,average_speed,average_temp,average_watts,suffer_score,kmeans_119
118,431,1686092334.0,5.374,21.371531966224367,70.5,1.0,101
119,446,1686073574.0,5.612,21.371531966224367,73.8,1.0,101
120,607,1685959200.0,6.334,28.0,94.4,65.4145810663765,101
121,7314,1685859496.0,8.289,24.0,164.7,136.0,101
122,705,1685816778.0,5.604,21.371531966224367,78.2,1.0,101
123,755,1685792358.0,5.198,21.371531966224367,100.6,2.0,101
124,321,1685739724.0,4.979,21.371531966224367,48.1,0.0,101
125,345,1685720776.0,4.759,21.371531966224367,69.3,0.0,101
126,14016,1685683303.0,7.501,23.0,148.6,198.0,101
127,349,1685654137.0,5.162,21.371531966224367,55.0,0.0,101
128,319,1685633918.0,4.843,21.371531966224367,62.1,0.0,101
129,416,1685567116.0,4.648,21.371531966224367,42.1,0.0,101
130,327,1685547811.0,4.825,21.371531966224367,66.0,1.0,101
131,6842,1685512005.0,7.814,20.0,148.7,80.0,101
132,414,1685480588.0,4.353,21.371531966224367,37.5,1.0,101
133,324,1685461313.0,4.984,21.371531966224367,64.8,0.0,101
134,3808,1685343015.0,6.284,24.0,95.6,30.0,101
135,10362,1685254838.0,7.594,25.0,147.4,188.0,34
136,735,1685215523.0,5.402,21.371531966224367,67.3,3.0,34
137,705,1685191370.0,5.554,21.371531966224367,127.2,2.0,34
138,9178,1685166760.0,6.93,23.0,129.2,148.0,34
139,2829,1685120076.0,6.405,31.0,91.7,12.0,34
140,363,1685048602.0,4.88,21.371531966224367,41.8,0.0,34
141,325,1685029319.0,4.855,21.371531966224367,64.6,0.0,34
142,1160,1684962362.0,5.722,21.371531966224367,72.4,5.0,34
143,372,1684942853.0,4.996,21.371531966224367,78.3,0.0,34
144,355,1684875769.0,5.402,21.371531966224367,62.5,1.0,34
145,293,1684856886.0,5.304,21.371531966224367,67.9,0.0,34
146,6765,1684835254.0,7.189,21.371531966224367,110.4,45.0,34
147,375,1684789339.0,5.264,21.371531966224367,53.4,1.0,34
148,338,1684770356.0,4.64,21.371531966224367,63.9,0.0,34
149,752,1684711457.0,5.263,21.371531966224367,57.3,2.0,34
150,680,1684701897.0,5.791,21.371531966224367,81.0,2.0,34
151,5751,1684664163.0,6.69,34.0,94.8,22.0,34
152,8086,1684577662.0,7.59,32.0,123.3,133.0,34
153,747,1684544258.0,6.261,21.371531966224367,94.1,3.0,34
154,398,1684530279.0,6.141,21.371531966224367,87.5,2.0,34
155,312,1684511325.0,5.026,21.371531966224367,68.5,1.0,34
156,5832,1684489183.0,7.352,24.0,110.6,90.0,34
157,329,1684357519.0,5.862,21.371531966224367,63.6,1.0,34
158,316,1684338256.0,4.966,21.371531966224367,69.1,1.0,34
159,5205,1684315235.0,7.651,29.0,126.7,100.0,34
161,291,1684251893.0,5.397,21.371531966224367,71.2,0.0,34
162,5660,1684228355.0,7.402,32.0,115.7,71.0,34
163,360,1684184775.0,5.396,21.371531966224367,51.0,0.0,34
164,318,1684165391.0,4.989,21.371531966224367,73.4,0.0,34
165,2595,1684143542.0,5.237,31.0,63.7,6.0,34
166,5269,1684063796.0,7.301,35.0,111.1,53.0,65
167,602,1684019928.0,6.635,21.371531966224367,93.8,4.0,65
168,684,1684001286.0,5.675,21.371531966224367,74.3,2.0,65
169,6724,1683909142.0,7.527,31.0,119.5,130.0,65
170,302,1683838846.0,5.881,21.371531966224367,62.0,1.0,65
171,255,1683819932.0,6.069,21.371531966224367,88.7,2.0,65
172,305,1683752476.0,5.947,21.371531966224367,72.8,1.0,65
173,266,1683733613.0,5.842,21.371531966224367,84.5,1.0,65
174,3809,1683715558.0,7.438,22.0,122.0,77.0,65
175,358,1683666122.0,4.863,21.371531966224367,52.9,1.0,65
176,311,1683647140.0,5.275,21.371531966224367,72.6,1.0,65
177,5666,1683621993.0,7.397,25.0,114.5,65.0,65
178,363,1683579958.0,5.537,21.371531966224367,77.6,0.0,65
179,281,1683560424.0,5.505,21.371531966224367,76.5,0.0,65
180,436,1683552635.0,5.407,21.371531966224367,57.9,2.0,65
181,526,1683541957.0,5.925,21.371531966224367,77.8,0.0,65
182,3336,1683526844.0,6.46,19.0,102.1,32.0,65
183,3566,1683458726.0,6.146,28.0,93.2,20.0,65
185,539,1683397104.0,5.365,21.371531966224367,66.4,2.0,65
187,674,1683388916.0,4.928,21.371531966224367,64.5,2.0,65
188,313,1683327695.0,5.711,21.371531966224367,63.1,1.0,65
189,288,1683296087.0,5.873,21.371531966224367,85.8,2.0,65
190,4543,1683281474.0,7.487,22.0,117.4,52.0,65
191,282,1683241471.0,6.343,21.371531966224367,83.4,0.0,65
192,264,1683225765.0,6.438,21.371531966224367,107.3,3.0,65
193,520,1683219517.0,5.296,21.371531966224367,66.1,2.0,65
194,506,1683188430.0,5.274,21.371531966224367,65.5,1.0,65
195,5090,1683127812.0,6.98,28.0,129.4,141.0,65
196,338,1683068484.0,6.034,21.371531966224367,85.0,65.4145810663765,65
197,332,1683036715.0,5.161,21.371531966224367,102.0,65.4145810663765,65
198,1614,1683025777.0,6.521,21.371531966224367,99.4,65.4145810663765,65
199,541,1683015265.0,5.101,21.371531966224367,79.4,65.4145810663765,65
200,3450,1682959114.0,7.347,30.0,115.2,81.0,65
201,591,1682835814.0,6.598,21.371531966224367,101.3,65.4145810663765,80
202,705,1682773837.0,5.888,21.371531966224367,97.9,65.4145810663765,80
203,400,1682687756.0,5.921,21.371531966224367,112.0,65.4145810663765,80
204,613,1682674403.0,5.07,21.371531966224367,79.4,65.4145810663765,80
205,442,1682624911.0,6.283,21.371531966224367,98.2,65.4145810663765,80
206,408,1682621416.0,6.251,21.371531966224367,104.1,65.4145810663765,80
207,321,1682549965.0,6.367,21.371531966224367,89.2,65.4145810663765,80
208,277,1682518407.0,5.906,21.371531966224367,103.3,65.4145810663765,80
209,3395,1682488883.0,7.551,15.0,121.5,73.0,80
210,486,1682448529.0,5.623,21.371531966224367,89.3,65.4145810663765,80
211,491,1682413844.0,5.603,21.371531966224367,84.2,65.4145810663765,80
212,539,1682346146.0,5.963,21.371531966224367,94.7,65.4145810663765,80
213,725,1682343726.0,5.683,21.371531966224367,106.7,65.4145810663765,80
214,488,1682336335.0,5.673,21.371531966224367,87.7,65.4145810663765,80
215,567,1682319741.0,4.835,21.371531966224367,82.0,65.4145810663765,80
216,4103,1682150673.0,7.104,21.0,108.8,49.0,80
217,486,1682016469.0,5.828,21.371531966224367,101.2,65.4145810663765,80
218,513,1681980747.0,5.142,21.371531966224367,89.2,65.4145810663765,80
219,5147,1681883474.0,7.407,15.0,136.4,102.0,80
